tar_file,sample_id,slice_idx,ssim
Water-bilayer-K-1_val_0.tar,10,0,0.9072501484936043
Water-bilayer-K-1_val_0.tar,10,1,0.9133232011691381
Water-bilayer-K-1_val_0.tar,10,2,0.9185983499558318
Water-bilayer-K-1_val_0.tar,10,3,0.9568278199576923
Water-bilayer-K-1_val_0.tar,10,4,0.9711651902451407
Water-bilayer-K-1_val_0.tar,10,5,0.3476218212676616
Water-bilayer-K-1_val_0.tar,10,6,0.2646048075569487
Water-bilayer-K-1_val_0.tar,10,7,0.2652147452226642
Water-bilayer-K-1_val_0.tar,10,8,0.32173467417264956
Water-bilayer-K-1_val_0.tar,10,9,0.5022813512086943
Water-bilayer-K-1_val_0.tar,10,10,0.617745684267463
Water-bilayer-K-1_val_0.tar,10,11,0.6633915132271082
Water-bilayer-K-1_val_0.tar,10,12,0.6514218337964595
Water-bilayer-K-1_val_0.tar,10,13,0.5654166734803961
Water-bilayer-K-1_val_0.tar,10,14,0.5047154698122993
Water-bilayer-K-1_val_0.tar,11,0,0.7430377744406906
Water-bilayer-K-1_val_0.tar,11,1,0.8031798690146937
Water-bilayer-K-1_val_0.tar,11,2,0.8688625463092776
Water-bilayer-K-1_val_0.tar,11,3,0.8767563886633514
Water-bilayer-K-1_val_0.tar,11,4,0.8763481112253977
Water-bilayer-K-1_val_0.tar,11,5,0.9351800225773398
Water-bilayer-K-1_val_0.tar,11,6,0.9113946980129847
Water-bilayer-K-1_val_0.tar,11,7,0.9184705825145424
Water-bilayer-K-1_val_0.tar,11,8,0.9198420084067116
Water-bilayer-K-1_val_0.tar,11,9,0.9196486819324662
Water-bilayer-K-1_val_0.tar,11,10,0.9112208729859906
Water-bilayer-K-1_val_0.tar,11,11,0.9208440416930644
Water-bilayer-K-1_val_0.tar,11,12,0.9332176480475662
Water-bilayer-K-1_val_0.tar,11,13,0.9401297090451834
Water-bilayer-K-1_val_0.tar,11,14,0.9476784000780385
Water-bilayer-K-1_val_0.tar,12,0,0.800185960998134
Water-bilayer-K-1_val_0.tar,12,1,0.8705687099273609
Water-bilayer-K-1_val_0.tar,12,2,0.9231065991525207
Water-bilayer-K-1_val_0.tar,12,3,0.905120684930146
Water-bilayer-K-1_val_0.tar,12,4,0.957957664646832
Water-bilayer-K-1_val_0.tar,12,5,0.8629900607202343
Water-bilayer-K-1_val_0.tar,12,6,0.23518716309704973
Water-bilayer-K-1_val_0.tar,12,7,0.17862375687622073
Water-bilayer-K-1_val_0.tar,12,8,0.19442844608812382
Water-bilayer-K-1_val_0.tar,12,9,0.22702588765730802
Water-bilayer-K-1_val_0.tar,12,10,0.35639829211409246
Water-bilayer-K-1_val_0.tar,12,11,0.5441402182282822
Water-bilayer-K-1_val_0.tar,12,12,0.3508297714487588
Water-bilayer-K-1_val_0.tar,12,13,0.2588347530929742
Water-bilayer-K-1_val_0.tar,12,14,0.3831020088429767
Water-bilayer-K-1_val_0.tar,13,0,0.7467380833927405
Water-bilayer-K-1_val_0.tar,13,1,0.7989492906421977
Water-bilayer-K-1_val_0.tar,13,2,0.8480889093825903
Water-bilayer-K-1_val_0.tar,13,3,0.960330358308729
Water-bilayer-K-1_val_0.tar,13,4,0.40288653903375093
Water-bilayer-K-1_val_0.tar,13,5,0.2618797781957065
Water-bilayer-K-1_val_0.tar,13,6,0.27019913057206046
Water-bilayer-K-1_val_0.tar,13,7,0.3097937282448936
Water-bilayer-K-1_val_0.tar,13,8,0.2642048843900826
Water-bilayer-K-1_val_0.tar,13,9,0.3596374416291398
Water-bilayer-K-1_val_0.tar,13,10,0.4373714338411274
Water-bilayer-K-1_val_0.tar,13,11,0.564559244318924
Water-bilayer-K-1_val_0.tar,13,12,0.601928677499802
Water-bilayer-K-1_val_0.tar,13,13,0.70991630151116
Water-bilayer-K-1_val_0.tar,13,14,0.9049791771021002
Water-bilayer-K-1_val_0.tar,14,0,0.8968047585798241
Water-bilayer-K-1_val_0.tar,14,1,0.9244804238681021
Water-bilayer-K-1_val_0.tar,14,2,0.9551748609295198
Water-bilayer-K-1_val_0.tar,14,3,0.9361605587667527
Water-bilayer-K-1_val_0.tar,14,4,0.3983712517182493
Water-bilayer-K-1_val_0.tar,14,5,0.19405989918296687
Water-bilayer-K-1_val_0.tar,14,6,0.1969574964753988
Water-bilayer-K-1_val_0.tar,14,7,0.2187352612161346
Water-bilayer-K-1_val_0.tar,14,8,0.27583658543272277
Water-bilayer-K-1_val_0.tar,14,9,0.35613344356023957
Water-bilayer-K-1_val_0.tar,14,10,0.4304218249928571
Water-bilayer-K-1_val_0.tar,14,11,0.4323219313743864
Water-bilayer-K-1_val_0.tar,14,12,0.5156991273592275
Water-bilayer-K-1_val_0.tar,14,13,0.5889476459366518
Water-bilayer-K-1_val_0.tar,14,14,0.5990086509530261
Water-bilayer-K-1_val_0.tar,15,0,0.9436191205760291
Water-bilayer-K-1_val_0.tar,15,1,0.3911082576606809
Water-bilayer-K-1_val_0.tar,15,2,0.2862681031435467
