tar_file,sample_id,slice_idx,feature_dice,feature_distance
Water-bilayer-K-6_val_1.tar,26,6,0.6336555011253806,0.3663444988746194
Water-bilayer-K-6_val_1.tar,26,7,0.6657931868574883,0.33420681314251166
Water-bilayer-K-6_val_1.tar,26,8,0.6309681360073296,0.3690318639926704
Water-bilayer-K-6_val_1.tar,26,9,0.7862333973769943,0.21376660262300573
Water-bilayer-K-6_val_1.tar,26,10,0.8040640759418569,0.19593592405814308
Water-bilayer-K-6_val_1.tar,26,11,0.7668928086838533,0.23310719131614666
Water-bilayer-K-6_val_1.tar,26,12,0.7666707752989029,0.23332922470109707
Water-bilayer-K-6_val_1.tar,26,13,0.8870585701981051,0.11294142980189492
Water-bilayer-K-6_val_1.tar,26,14,0.7974866548042705,0.2025133451957295
Water-bilayer-K-6_val_1.tar,27,0,0.0,1.0
Water-bilayer-K-6_val_1.tar,27,1,0.2613439556633183,0.7386560443366816
Water-bilayer-K-6_val_1.tar,27,2,0.3282312925170067,0.6717687074829932
Water-bilayer-K-6_val_1.tar,27,3,0.3093628354845318,0.6906371645154682
Water-bilayer-K-6_val_1.tar,27,4,0.7459571777034962,0.25404282229650377
Water-bilayer-K-6_val_1.tar,27,5,0.23182077083728875,0.7681792291627112
Water-bilayer-K-6_val_1.tar,27,6,0.2819100091827364,0.7180899908172635
Water-bilayer-K-6_val_1.tar,27,7,0.35104933224311796,0.648950667756882
Water-bilayer-K-6_val_1.tar,27,8,0.3574842767295597,0.6425157232704404
Water-bilayer-K-6_val_1.tar,27,9,0.6894439208294061,0.3105560791705939
Water-bilayer-K-6_val_1.tar,27,10,0.7650352176268737,0.23496478237312635
Water-bilayer-K-6_val_1.tar,27,11,0.800523519901455,0.19947648009854502
Water-bilayer-K-6_val_1.tar,27,12,0.6607339955849889,0.3392660044150111
Water-bilayer-K-6_val_1.tar,27,13,0.754241329972065,0.24575867002793494
Water-bilayer-K-6_val_1.tar,27,14,0.7902884145347889,0.20971158546521107
Water-bilayer-K-6_val_1.tar,28,0,0.7701093795373147,0.22989062046268527
Water-bilayer-K-6_val_1.tar,28,1,0.8159726962457337,0.18402730375426635
Water-bilayer-K-6_val_1.tar,28,2,0.8368609976482237,0.16313900235177625
Water-bilayer-K-6_val_1.tar,28,3,0.7809270741068791,0.21907292589312088
Water-bilayer-K-6_val_1.tar,28,4,0.8213727907932592,0.1786272092067408
Water-bilayer-K-6_val_1.tar,28,5,0.8960376618281678,0.1039623381718322
Water-bilayer-K-6_val_1.tar,28,6,0.757734506276564,0.24226549372343598
Water-bilayer-K-6_val_1.tar,28,7,0.5262635042841176,0.4737364957158824
Water-bilayer-K-6_val_1.tar,28,8,0.8057457075524631,0.1942542924475369
Water-bilayer-K-6_val_1.tar,28,9,0.7079900614620112,0.29200993853798884
Water-bilayer-K-6_val_1.tar,28,10,0.7759286058851904,0.22407139411480959
Water-bilayer-K-6_val_1.tar,28,11,0.6677552797735683,0.3322447202264317
Water-bilayer-K-6_val_1.tar,28,12,0.709412435824301,0.290587564175699
Water-bilayer-K-6_val_1.tar,28,13,0.7507729131345366,0.24922708686546335
Water-bilayer-K-6_val_1.tar,28,14,0.6972798524665743,0.3027201475334257
Water-bilayer-K-6_val_1.tar,29,0,0.0,1.0
Water-bilayer-K-6_val_1.tar,29,1,0.17117834394904452,0.8288216560509555
Water-bilayer-K-6_val_1.tar,29,2,0.6478174603174601,0.3521825396825399
Water-bilayer-K-6_val_1.tar,29,3,0.310764430577223,0.689235569422777
Water-bilayer-K-6_val_1.tar,29,4,0.0,1.0
Water-bilayer-K-6_val_1.tar,29,5,0.0,1.0
Water-bilayer-K-6_val_1.tar,29,6,0.0,1.0
Water-bilayer-K-6_val_1.tar,29,7,0.0,1.0
Water-bilayer-K-6_val_1.tar,29,8,0.0,1.0
Water-bilayer-K-6_val_1.tar,29,9,0.0,1.0
Water-bilayer-K-6_val_1.tar,29,10,0.5136919315403422,0.4863080684596578
Water-bilayer-K-6_val_1.tar,29,11,0.8322827125119387,0.16771728748806125
Water-bilayer-K-6_val_1.tar,29,12,0.41452859350850074,0.5854714064914992
Water-bilayer-K-6_val_1.tar,29,13,0.323242821878654,0.676757178121346
Water-bilayer-K-6_val_1.tar,29,14,0.23571007660577484,0.7642899233942252
Water-bilayer-K-6_val_1.tar,30,0,0.8144992050874403,0.18550079491255966
Water-bilayer-K-6_val_1.tar,30,1,0.5665167944988098,0.43348320550119024
Water-bilayer-K-6_val_1.tar,30,2,0.852944748026715,0.14705525197328495
Water-bilayer-K-6_val_1.tar,30,3,0.6915151515151514,0.3084848484848486
Water-bilayer-K-6_val_1.tar,30,4,0.8096885813148788,0.19031141868512125
Water-bilayer-K-6_val_1.tar,30,5,0.6223404255319148,0.3776595744680852
Water-bilayer-K-6_val_1.tar,30,6,0.8230061659759424,0.17699383402405755
Water-bilayer-K-6_val_1.tar,30,7,0.8551552795031054,0.14484472049689456
Water-bilayer-K-6_val_1.tar,30,8,0.9230080572963293,0.07699194270367071
Water-bilayer-K-6_val_1.tar,30,9,0.8550503509307292,0.14494964906927077
Water-bilayer-K-6_val_1.tar,30,10,0.9373726395870126,0.06262736041298744
Water-bilayer-K-6_val_1.tar,30,11,0.8612522361359569,0.13874776386404308
Water-bilayer-K-6_val_1.tar,30,12,0.8615997800989553,0.13840021990104467
Water-bilayer-K-6_val_1.tar,30,13,0.7532486283569159,0.24675137164308414
Water-bilayer-K-6_val_1.tar,30,14,0.8301363252503318,0.16986367474966824
Water-bilayer-K-6_val_1.tar,31,0,0.0,1.0
Water-bilayer-K-6_val_1.tar,31,1,0.0,1.0
Water-bilayer-K-6_val_1.tar,31,2,0.0,1.0
Water-bilayer-K-6_val_1.tar,31,3,0.01451005601983653,0.9854899439801634
Water-bilayer-K-6_val_1.tar,31,4,0.08831460674157302,0.911685393258427
Water-bilayer-K-6_val_1.tar,31,5,0.7096736323080536,0.2903263676919464
Water-bilayer-K-6_val_1.tar,31,6,0.24186175370549934,0.7581382462945007
Water-bilayer-K-6_val_1.tar,31,7,0.09240924092409239,0.9075907590759076
Water-bilayer-K-6_val_1.tar,31,8,0.0,1.0
Water-bilayer-K-6_val_1.tar,31,9,0.0,1.0
Water-bilayer-K-6_val_1.tar,31,10,0.0,1.0
Water-bilayer-K-6_val_1.tar,31,11,0.142486205777345,0.857513794222655
Water-bilayer-K-6_val_1.tar,31,12,0.42156862745098034,0.5784313725490197
Water-bilayer-K-6_val_1.tar,31,13,0.6770814841114858,0.32291851588851417
Water-bilayer-K-6_val_1.tar,31,14,0.4966754617414247,0.5033245382585754
Water-bilayer-K-6_val_1.tar,32,0,0.5119316158138429,0.48806838418615706
Water-bilayer-K-6_val_1.tar,32,1,0.7377521613832853,0.26224783861671475
Water-bilayer-K-6_val_1.tar,32,2,0.6604559403770275,0.3395440596229725
Water-bilayer-K-6_val_1.tar,32,3,0.5881678842572696,0.4118321157427304
Water-bilayer-K-6_val_1.tar,32,4,0.7060670949321912,0.2939329050678088
Water-bilayer-K-6_val_1.tar,32,5,0.8233276157804459,0.1766723842195541
Water-bilayer-K-6_val_1.tar,32,6,0.6134442855285398,0.3865557144714602
Water-bilayer-K-6_val_1.tar,32,7,0.5869886215582384,0.4130113784417616
Water-bilayer-K-6_val_1.tar,32,8,0.7185723310170561,0.2814276689829439
Water-bilayer-K-6_val_1.tar,32,9,0.5567812078406474,0.44321879215935256
Water-bilayer-K-6_val_1.tar,32,10,0.7042712748614279,0.29572872513857207
Water-bilayer-K-6_val_1.tar,32,11,0.9494326099940273,0.05056739000597266
Water-bilayer-K-6_val_1.tar,32,12,0.9425862994097656,0.05741370059023443
Water-bilayer-K-6_val_1.tar,32,13,0.9154977184383977,0.08450228156160233
Water-bilayer-K-6_val_1.tar,32,14,0.9256185878092937,0.07438141219070626
Water-bilayer-K-6_val_1.tar,33,0,0.7222601959444063,0.27773980405559373
Water-bilayer-K-6_val_1.tar,33,1,0.9205776173285196,0.07942238267148038
Water-bilayer-K-6_val_1.tar,33,2,0.8554387957966485,0.1445612042033515
Water-bilayer-K-6_val_1.tar,33,3,0.8680119086999667,0.1319880913000333
Water-bilayer-K-6_val_1.tar,33,4,0.6658896658896657,0.3341103341103343
Water-bilayer-K-6_val_1.tar,33,5,0.6650176678445228,0.33498233215547724
Water-bilayer-K-6_val_1.tar,33,6,0.8899108939350385,0.11008910606496147
Water-bilayer-K-6_val_1.tar,33,7,0.845052083333333,0.15494791666666696
Water-bilayer-K-6_val_1.tar,33,8,0.8711955198441683,0.12880448015583168
Water-bilayer-K-6_val_1.tar,33,9,0.9183200206132438,0.0816799793867562
Water-bilayer-K-6_val_1.tar,33,10,0.49561502136271635,0.5043849786372836
Water-bilayer-K-6_val_1.tar,33,11,0.5620767494356652,0.4379232505643348
Water-bilayer-K-6_val_1.tar,33,12,0.5066666666666665,0.4933333333333335
Water-bilayer-K-6_val_1.tar,33,13,0.5514303104077906,0.44856968959220944
Water-bilayer-K-6_val_1.tar,33,14,0.6611514435252405,0.33884855647475953
Water-bilayer-K-6_val_1.tar,34,0,0.7004012483281318,0.2995987516718682
Water-bilayer-K-6_val_1.tar,34,1,0.503956177723676,0.49604382227632404
Water-bilayer-K-6_val_1.tar,34,2,0.0,1.0
Water-bilayer-K-6_val_1.tar,34,3,0.0,1.0
Water-bilayer-K-6_val_1.tar,34,4,0.0,1.0
Water-bilayer-K-6_val_1.tar,34,5,0.0,1.0
Water-bilayer-K-6_val_1.tar,34,6,0.7726495726495723,0.22735042735042765
Water-bilayer-K-6_val_1.tar,34,7,0.6837950781612753,0.31620492183872473
Water-bilayer-K-6_val_1.tar,34,8,0.49289428076256486,0.5071057192374351
Water-bilayer-K-6_val_1.tar,34,9,0.30356100408639797,0.696438995913602
Water-bilayer-K-6_val_1.tar,34,10,0.0,1.0
Water-bilayer-K-6_val_1.tar,34,11,0.0,1.0
Water-bilayer-K-6_val_1.tar,34,12,0.2764137931034482,0.7235862068965517
Water-bilayer-K-6_val_1.tar,34,13,0.35041462896023806,0.6495853710397619
Water-bilayer-K-6_val_1.tar,34,14,0.3900359066427288,0.6099640933572712
