tar_file,sample_id,slice_idx,gssim
Water-bilayer-K-1_val_0.tar,13,1,0.036706798617114254
Water-bilayer-K-1_val_0.tar,13,2,0.06179223444147934
Water-bilayer-K-1_val_0.tar,13,3,0.3083175284664783
Water-bilayer-K-1_val_0.tar,13,4,0.006909726141738164
Water-bilayer-K-1_val_0.tar,13,5,0.004730724962651451
Water-bilayer-K-1_val_0.tar,13,6,0.005113848948267556
Water-bilayer-K-1_val_0.tar,13,7,0.003966165932875113
Water-bilayer-K-1_val_0.tar,13,8,0.0035502122850931423
Water-bilayer-K-1_val_0.tar,13,9,0.00519217039691168
Water-bilayer-K-1_val_0.tar,13,10,0.013637290574813509
Water-bilayer-K-1_val_0.tar,13,11,0.03017364735201514
Water-bilayer-K-1_val_0.tar,13,12,0.04097851642645793
Water-bilayer-K-1_val_0.tar,13,13,0.07003677792656059
Water-bilayer-K-1_val_0.tar,13,14,0.2325061477174411
Water-bilayer-K-1_val_0.tar,14,0,0.16362067797459345
Water-bilayer-K-1_val_0.tar,14,1,0.2358452282876456
Water-bilayer-K-1_val_0.tar,14,2,0.3191833301634974
Water-bilayer-K-1_val_0.tar,14,3,0.5145601087803903
Water-bilayer-K-1_val_0.tar,14,4,0.06274697472101079
Water-bilayer-K-1_val_0.tar,14,5,0.008900475165403522
Water-bilayer-K-1_val_0.tar,14,6,0.00940002365831586
Water-bilayer-K-1_val_0.tar,14,7,0.010236231784708918
Water-bilayer-K-1_val_0.tar,14,8,0.013320008038472692
Water-bilayer-K-1_val_0.tar,14,9,0.05890877802885894
Water-bilayer-K-1_val_0.tar,14,10,0.06674514844109034
Water-bilayer-K-1_val_0.tar,14,11,0.08538567449613993
Water-bilayer-K-1_val_0.tar,14,12,0.09550597661039512
Water-bilayer-K-1_val_0.tar,14,13,0.08223730130400644
Water-bilayer-K-1_val_0.tar,14,14,0.12574815049481847
Water-bilayer-K-1_val_0.tar,15,0,0.5983960760135427
Water-bilayer-K-1_val_0.tar,15,1,0.05375633605273547
Water-bilayer-K-1_val_0.tar,15,2,0.006673132251847879
Water-bilayer-K-1_val_0.tar,15,3,0.00921181422534013
Water-bilayer-K-1_val_0.tar,15,4,0.009606757535148273
Water-bilayer-K-1_val_0.tar,15,5,0.017386289396547464
Water-bilayer-K-1_val_0.tar,15,6,0.015276164450110416
Water-bilayer-K-1_val_0.tar,15,7,0.019594510927754848
Water-bilayer-K-1_val_0.tar,15,8,0.022843357263191602
Water-bilayer-K-1_val_0.tar,15,9,0.1458088964414663
Water-bilayer-K-1_val_0.tar,15,10,0.5193223870010093
Water-bilayer-K-1_val_0.tar,15,11,0.2973773276664252
Water-bilayer-K-1_val_0.tar,15,12,0.07832622504572133
Water-bilayer-K-1_val_0.tar,15,13,0.15198270386018747
Water-bilayer-K-1_val_0.tar,15,14,0.09139166481760354
Water-bilayer-K-1_val_0.tar,16,0,0.02507222256289152
Water-bilayer-K-1_val_0.tar,16,1,0.028600296360834516
